"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Document Type","Source","EID"
"Gan, Z.L.; Musa, S.N.; Yap, H.J.","Gan, Zhi Lon (57952455200); Musa, S. Nurmaya (56288667900); Yap, Hwajen (57951575600)","57952455200; 56288667900; 57951575600","A Review of the High-Mix, Low-Volume Manufacturing Industry","2023","10.3390/app13031687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148003865&doi=10.3390%2Fapp13031687&partnerID=40&md5=79697f0495c4832e0c6c5a74c2da06f1","Review","Scopus","2-s2.0-85148003865"
"Dhirani, L.L.; Mukhtiar, N.; Chowdhry, B.S.; Newe, T.","Dhirani, Lubna Luxmi (57192940466); Mukhtiar, Noorain (58100290800); Chowdhry, Bhawani Shankar (18633334900); Newe, Thomas (6507501773)","57192940466; 58100290800; 18633334900; 6507501773","Ethical Dilemmas and Privacy Issues in Emerging Technologies: A Review","2023","10.3390/s23031151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147892711&doi=10.3390%2Fs23031151&partnerID=40&md5=c5bc1969888cf7c4ca7b76572b9d47c5","Review","Scopus","2-s2.0-85147892711"
"Renna, P.; Materi, S.; Ambrico, M.","Renna, Paolo (9279643000); Materi, Sergio (57204651474); Ambrico, Michele (37039486800)","9279643000; 57204651474; 37039486800","Review of Responsiveness and Sustainable Concepts in Cellular Manufacturing Systems","2023","10.3390/app13021125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146633956&doi=10.3390%2Fapp13021125&partnerID=40&md5=ea0003e4aec061c5bf98d670eda29c17","Review","Scopus","2-s2.0-85146633956"
"Tzanetos, A.; Blondin, M.","Tzanetos, Alexandros (55235024800); Blondin, Maude Josée (55838183100)","55235024800; 55838183100","Systematic search and mapping review of the concrete delivery problem (CDP): Formulations, objectives, and data","2023","10.1016/j.autcon.2022.104631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141797958&doi=10.1016%2Fj.autcon.2022.104631&partnerID=40&md5=af54ebaceecadcd5cb697debb2a26229","Review","Scopus","2-s2.0-85141797958"
"Chen, D.; Wang, Y.; Zhou, H.; Huang, Z.; Zhang, Y.; Guo, C.F.; Zhou, H.","Chen, Dan (57196404007); Wang, Yunming (46661367100); Zhou, Helezi L.Z. (56939433000); Huang, Zhigao (56446012700); Zhang, Yun (55888853100); Guo, Chuanfei (23392752100); Zhou, Huamin (7404741969)","57196404007; 46661367100; 56939433000; 56446012700; 55888853100; 23392752100; 7404741969","Current and Future Trends for Polymer Micro/Nanoprocessing in Industrial Applications","2022","10.1002/adma.202200903","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131588910&doi=10.1002%2Fadma.202200903&partnerID=40&md5=0a17ad5deb23b2ec54187f6f3a8de8e4","Review","Scopus","2-s2.0-85131588910"
"Dalpadulo, E.; Petruccioli, A.; Gherardini, F.; Leali, F.","Dalpadulo, Enrico (57215663636); Petruccioli, Andrea (57215651138); Gherardini, Francesco (57150736400); Leali, Francesco (12345355900)","57215663636; 57215651138; 57150736400; 12345355900","A Review of Automotive Spare-Part Reconstruction Based on Additive Manufacturing","2022","10.3390/jmmp6060133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144728011&doi=10.3390%2Fjmmp6060133&partnerID=40&md5=39403f8b4bc7f91c6a12353f4bfc2cbb","Review","Scopus","2-s2.0-85144728011"
"Bahrpeyma, F.; Reichelt, D.","Bahrpeyma, Fouad (55959195700); Reichelt, Dirk (57208214154)","55959195700; 57208214154","A review of the applications of multi-agent reinforcement learning in smart factories","2022","10.3389/frobt.2022.1027340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144018709&doi=10.3389%2Ffrobt.2022.1027340&partnerID=40&md5=e1595351dd11795fedb43fefd162d132","Review","Scopus","2-s2.0-85144018709"
"Salaimanimagudam, M.P.; Jayaprakash, J.","Salaimanimagudam, M. P. (57200047987); Jayaprakash, Jaganathan (12795535200)","57200047987; 12795535200","Optimum selection of reinforcement, assembly, and formwork system for digital fabrication technique in construction industry – A critical review","2022","10.1016/j.istruc.2022.10.094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141250396&doi=10.1016%2Fj.istruc.2022.10.094&partnerID=40&md5=11608ae6ec7f63d26506d740aebe06fe","Review","Scopus","2-s2.0-85141250396"
"Guo, A.X.Y.; Cheng, L.; Zhan, S.; Zhang, S.; Xiong, W.; Wang, Z.; Wang, G.; Cao, S.C.","Guo, Amy X.Y. (57554021400); Cheng, Liangjie (58349947000); Zhan, Shuai (57554953700); Zhang, Shouyang (25951819700); Xiong, Wei (59579339400); Wang, Zihan (57209886882); Wang, Gang (57215155253); Cao, Shan Cecilia (57200513716)","57554021400; 58349947000; 57554953700; 25951819700; 59579339400; 57209886882; 57215155253; 57200513716","Biomedical applications of the powder-based 3D printed titanium alloys: A review","2022","10.1016/j.jmst.2021.11.084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129841570&doi=10.1016%2Fj.jmst.2021.11.084&partnerID=40&md5=e2192ac5399bd5bde438f1b91be3a0cd","Review","Scopus","2-s2.0-85129841570"
"Panzer, M.; Bender, B.; Gronau, N.","Panzer, Marcel (57263704600); Bender, Benedict (57192310179); Gronau, Norbert (8554946700)","57263704600; 57192310179; 8554946700","Neural agent-based production planning and control: An architectural review","2022","10.1016/j.jmsy.2022.10.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142179935&doi=10.1016%2Fj.jmsy.2022.10.019&partnerID=40&md5=1ec9497ea926b64805ca4d472642e189","Review","Scopus","2-s2.0-85142179935"
"Eswaran, M.; Raju Bahubalendruni, M.V.A.R.","Eswaran, M. (57912128500); Raju Bahubalendruni, M. V.A. (56453400700)","57912128500; 56453400700","Challenges and opportunities on AR/VR technologies for manufacturing systems in the context of industry 4.0: A state of the art review","2022","10.1016/j.jmsy.2022.09.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139010853&doi=10.1016%2Fj.jmsy.2022.09.016&partnerID=40&md5=3877e1a728618078408aac8435a1cdb6","Review","Scopus","2-s2.0-85139010853"
"Guo, H.; Liu, J.; Zhuang, C.","Guo, Haoxin (57906870200); Liu, Jianhua (55986543000); Zhuang, Cunbo (55711307200)","57906870200; 55986543000; 55711307200","Automatic design for shop scheduling strategies based on hyper-heuristics: A systematic review","2022","10.1016/j.aei.2022.101756","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138796262&doi=10.1016%2Fj.aei.2022.101756&partnerID=40&md5=2944d763c030a8cff0e1392bb49c5e23","Review","Scopus","2-s2.0-85138796262"
"Dornelas, P.H.G.; Santos, T.G.; Oliveira, J.P.","Dornelas, Paulo Henrique Grossi (57217085417); Santos, Telmo Gomes (7004578662); Oliveira, J. P. (55601590000)","57217085417; 7004578662; 55601590000","Micro-metal additive manufacturing – state-of-art and perspectives","2022","10.1007/s00170-022-10110-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138705451&doi=10.1007%2Fs00170-022-10110-9&partnerID=40&md5=2aac2cc4aa52ed6ce82db48715423596","Review","Scopus","2-s2.0-85138705451"
"Kumar, A.; Chhabra, D.","Kumar, Ashwani Naveen (58736686800); Chhabra, Deepak (56198514600)","58736686800; 56198514600","Adopting additive manufacturing as a cleaner fabrication framework for topologically optimized orthotic devices: Implications over sustainable rehabilitation","2022","10.1016/j.clet.2022.100559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138044491&doi=10.1016%2Fj.clet.2022.100559&partnerID=40&md5=c75fc7d4c928cbd51ffd9461c7f6d64b","Review","Scopus","2-s2.0-85138044491"
"Shahzad, Q.; Umair, M.; Waqar, S.","Shahzad, Qamar (57202959667); Umair, Muhammad (58787199400); Waqar, Saad (57192237246)","57202959667; 58787199400; 57192237246","Bibliographic analysis on 3D printing in the building and construction industry: Printing systems, material properties, challenges, and future trends","2022","10.47481/jscmt.1143239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167792282&doi=10.47481%2Fjscmt.1143239&partnerID=40&md5=01331820ac062abe66da2ee592caacb9","Review","Scopus","2-s2.0-85167792282"
"Khorasani, M.; Loy, J.; Ghasemi, A.H.; Sharabian, E.; Leary, M.; Mirafzal, H.; Cochrane, P.; Rolfe, B.; Gibson, I.","Khorasani, Amir Mahyar (57216819593); Loy, Jennifer (55161525200); Ghasemi, Amir Hossein (59028754700); Sharabian, Elmira G. (57459612800); Leary, Martin John (18042351100); Mirafzal, Hamed (57660086600); Cochrane, Peter (57205395141); Rolfe, Bernard F. (56948320700); Gibson, Ian (15831816500)","57216819593; 55161525200; 59028754700; 57459612800; 18042351100; 57660086600; 57205395141; 56948320700; 15831816500","A review of Industry 4.0 and additive manufacturing synergy","2022","10.1108/RPJ-08-2021-0194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129344541&doi=10.1108%2FRPJ-08-2021-0194&partnerID=40&md5=31e7414b5471817068ac74cb4387e4f7","Review","Scopus","2-s2.0-85129344541"
"Maluf, A.S.; Sagawa, J.K.; Borges, R.F.S.","Maluf, Arthur Sarro (57218364821); Sagawa, Juliana Keiko (55888677400); Borges, Roberto Filipe Santos (57746012600)","57218364821; 55888677400; 57746012600","Toward the use of bond graphs for manufacturing control: comparison of existing models","2022","10.1007/s00170-022-09401-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132128837&doi=10.1007%2Fs00170-022-09401-y&partnerID=40&md5=03e0e213c9fc93981171a3f223151249","Review","Scopus","2-s2.0-85132128837"
"Boban, J.; Ahmed, A.; Jithinraj, E.K.; Rahman, M.A.; Rahman, M.","Boban, Jibin (57205734369); Ahmed, Afzaal (55448610800); Jithinraj, E. K. (57720576100); Rahman, M. Azizur (56874940400); Rahman, Mustafizur Sazedur (57200739327)","57205734369; 55448610800; 57720576100; 56874940400; 57200739327","Polishing of additive manufactured metallic components: retrospect on existing methods and future prospects","2022","10.1007/s00170-022-09382-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131103776&doi=10.1007%2Fs00170-022-09382-y&partnerID=40&md5=8ff51f65f2602433869a85a0f5477374","Review","Scopus","2-s2.0-85131103776"
"Jagadeesh, P.; Madhu, M.; Rangappa, S.M.; Karfidov, K.; Gorbatyuk, S.; Khan, A.; Doddamani, M.; Siengchin, S.","Jagadeesh, Praveenkumara (57220930332); Madhu, Puttegowda (57209185670); Rangappa, Sanjay Mavinkere (57042636700); Karfidov, Alexey О. (57191223536); Gorbatyuk, S. M. (6602347993); Khan, Anish (7404910403); Doddamani, Mrityunjay R. (50861144500); Siengchin, Suchart (23989534700)","57220930332; 57209185670; 57042636700; 57191223536; 6602347993; 7404910403; 50861144500; 23989534700","A comprehensive review on 3D printing advancements in polymer composites: technologies, materials, and applications","2022","10.1007/s00170-022-09406-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131052825&doi=10.1007%2Fs00170-022-09406-7&partnerID=40&md5=5de091c98eb8e99e410cfbe741b29d63","Review","Scopus","2-s2.0-85131052825"
"Fernandes, J.M.R.C.; Homayouni, S.M.; Fontes, D.B.M.M.","Fernandes, João Chaves (57214917109); Homayouni, S. M. (55388241000); Fontes, Dalila Benedita M.Martins (10040225600)","57214917109; 55388241000; 10040225600","Energy-Efficient Scheduling in Job Shop Manufacturing Systems: A Literature Review","2022","10.3390/su14106264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130888673&doi=10.3390%2Fsu14106264&partnerID=40&md5=ba6e396569cdfefdcb3b6d94107e12e0","Review","Scopus","2-s2.0-85130888673"
"Karnik, N.; Bora, U.; Bhadri, K.; Kadambi, P.; Dhatrak, P.","Karnik, Niharika (57226579555); Bora, Urvi Mahendra (57226567172); Bhadri, Karan (57226561423); Kadambi, Prasanna (57226756619); Dhatrak, Pankaj (57196747243)","57226579555; 57226567172; 57226561423; 57226756619; 57196747243","A comprehensive study on current and future trends towards the characteristics and enablers of industry 4.0","2022","10.1016/j.jii.2021.100294","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120675156&doi=10.1016%2Fj.jii.2021.100294&partnerID=40&md5=75d355eec303d015612c8240b6830b8c","Review","Scopus","2-s2.0-85120675156"
"Qin, J.; Hu, F.; Liu, Y.; Witherell, P.; Wang, C.C.L.; Rosen, D.W.; Simpson, T.W.; Lu, Y.; Tang, Q.","Qin, Jian (57191728926); Hu, Fu (57219593921); Liu, Ying (35206193200); Witherell, Paul William (15073542400); Wang, Charlie C.L. (35231427200); Rosen, David W. (7202022503); Simpson, Timothy W. (7202539045); Lu, Yan (57191580065); Tang, Qian (7201632129)","57191728926; 57219593921; 35206193200; 15073542400; 35231427200; 7202022503; 7202539045; 57191580065; 7201632129","Research and application of machine learning for additive manufacturing","2022","10.1016/j.addma.2022.102691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124976638&doi=10.1016%2Fj.addma.2022.102691&partnerID=40&md5=153af7157637461bd084082f5714ce16","Review","Scopus","2-s2.0-85124976638"
"Fowler, J.W.; Mönch, L.","Fowler, Johń W. (7402371012); Mönch, Lars (6602003174)","7402371012; 6602003174","A survey of scheduling with parallel batch (p-batch) processing","2022","10.1016/j.ejor.2021.06.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110542987&doi=10.1016%2Fj.ejor.2021.06.012&partnerID=40&md5=0da9a31563233893e297db2a3779d683","Review","Scopus","2-s2.0-85110542987"
"Martínez-Olvera, C.","Martínez-Olvera, César (14619715200)","14619715200","Towards the Development of a Digital Twin for a Sustainable Mass Customization 4.0 Environment: A Literature Review of Relevant Concepts","2022","10.3390/automation3010010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134026891&doi=10.3390%2Fautomation3010010&partnerID=40&md5=b72773cd174c47a714cf4bb7f4a1a651","Review","Scopus","2-s2.0-85134026891"
"Hou, S.; Gao, J.; Wang, C.","Hou, Shixuan (57262104600); Gao, Jie (59859085000); Wang, Chun (56028989200)","57262104600; 59859085000; 56028989200","Design for mass customisation, design for manufacturing, and design for supply chain: A review of the literature","2022","10.1049/cim2.12041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115053729&doi=10.1049%2Fcim2.12041&partnerID=40&md5=48e3e2aa78f551e4ecc0e90984fb6ee5","Review","Scopus","2-s2.0-85115053729"
"Gómez Paredes, F.J.; Godinho Filho, M.; Thürer, M.; Fernandes, N.O.; Jabbour, C.J.C.","Gómez Paredes, Fernando José (57204285886); Godinho Filho, Moacir (26429368200); Thürer, Matthias (35811259700); Fernandes, Nuno O. (14064512000); Jabbour, Charbel Jose Chiappetta (15757819200)","57204285886; 26429368200; 35811259700; 14064512000; 15757819200","Factors for choosing production control systems in make-to-order shops: a systematic literature review","2022","10.1007/s10845-020-01673-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092221969&doi=10.1007%2Fs10845-020-01673-z&partnerID=40&md5=99b684901f4ce859ecf1bedd920224b0","Review","Scopus","2-s2.0-85092221969"
"Inkulu, A.K.; Raju Bahubalendruni, M.V.A.R.; Ashok, A.; Sankaranarayanasamy, K.","Inkulu, Anil Kumar (57220037591); Raju Bahubalendruni, M. V.A. (56453400700); Ashok, Dara (57214799940); Sankaranarayanasamy, K. (16040406500)","57220037591; 56453400700; 57214799940; 16040406500","Challenges and opportunities in human robot collaboration context of Industry 4.0 - a state of the art review","2022","10.1108/IR-04-2021-0077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111820692&doi=10.1108%2FIR-04-2021-0077&partnerID=40&md5=aff44f507c15e3907e6272f303a831f3","Review","Scopus","2-s2.0-85111820692"
"Para, J.; Del-Ser-Lorente, J.; Nebro, A.J.","Para, Jesús (57203898721); Del-Ser-Lorente, Javier (Javi) (9737598300); Nebro, A. J. (6508226668)","57203898721; 9737598300; 6508226668","Energy-Aware Multi-Objective Job Shop Scheduling Optimization with Metaheuristics in Manufacturing Industries: A Critical Survey, Results, and Perspectives","2022","10.3390/app12031491","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123741294&doi=10.3390%2Fapp12031491&partnerID=40&md5=a1f9a5549289c5197002e3cc69f0565d","Review","Scopus","2-s2.0-85123741294"
"Pei, F.; Zhang, J.; Mei, S.; Song, H.","Pei, Fengque (57188672689); Zhang, Jiaxuan (57932699000); Mei, Song (59030642300); Song, Haojie (57191839628)","57188672689; 57932699000; 59030642300; 57191839628","Critical Review on the Objective Function of Flexible Job Shop Scheduling","2022","10.1155/2022/8147581","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140057944&doi=10.1155%2F2022%2F8147581&partnerID=40&md5=79df6474a996db7e19f513510d5219a9","Review","Scopus","2-s2.0-85140057944"
"Bakon, K.; Holczinger, T.; Süle, Z.; Jaskó, S.; Abonyi, J.","Bakon, Krisztián Attila (57566486300); Holczinger, Tibor (6506674456); Süle, Zoltán (15053562300); Jaskó, Szilárd (14832677300); Abonyi, János A. (7003663899)","57566486300; 6506674456; 15053562300; 14832677300; 7003663899","Scheduling Under Uncertainty for Industry 4.0 and 5.0","2022","10.1109/ACCESS.2022.3191426","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135225037&doi=10.1109%2FACCESS.2022.3191426&partnerID=40&md5=1a1f9faf3d3bee8582cfdd72e6c8af5d","Review","Scopus","2-s2.0-85135225037"
"Ujazdowski, T.; Piotrowski, R.","Ujazdowski, Tomasz (57218191917); Piotrowski, Robert (22954312200)","57218191917; 22954312200","Task Scheduling-Review of Algorithms and Analysis of Potential Use in a Biological Wastewater Treatment Plant","2022","10.1109/ACCESS.2022.3170105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129612268&doi=10.1109%2FACCESS.2022.3170105&partnerID=40&md5=93e866c236366637469abc5d9252fb3c","Review","Scopus","2-s2.0-85129612268"
"Rimaz, S.; Kosari, M.; Zarinejad, M.; Ramakrishna, S.","Rimaz, Sajjad (56560291700); Kosari, Mohammadreza (57193444276); Zarinejad, Mehrdad (23502605700); Ramakrishna, Seeram Anantha (57205523298)","56560291700; 57193444276; 23502605700; 57205523298","A comprehensive review on sustainability-motivated applications of SAPO-34 molecular sieve","2022","10.1007/s10853-021-06643-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122234341&doi=10.1007%2Fs10853-021-06643-1&partnerID=40&md5=1ad94e35437c22e1ad740742173b8c0a","Review","Scopus","2-s2.0-85122234341"
"Shakil, S.I.; Smith, N.R.; Yoder, S.P.; Ross, B.E.; Alvarado, D.J.; Hadadzadeh, A.; Haghshenas, M.","Shakil, Shawkat Imam (57217587569); Smith, Noah Robert (57360453900); Yoder, Samuel Paul (57360169800); Ross, Brenden Edward (57360314200); Alvarado, Dylan James (57360314300); Hadadzadeh, Amir (56532555200); Haghshenas, Meysam (23110395400)","57217587569; 57360453900; 57360169800; 57360314200; 57360314300; 56532555200; 23110395400","Post fabrication thermomechanical processing of additive manufactured metals: A review","2022","10.1016/j.jmapro.2021.11.047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120466819&doi=10.1016%2Fj.jmapro.2021.11.047&partnerID=40&md5=ed883fd2d0b977c44746500f5cddd63f","Review","Scopus","2-s2.0-85120466819"
"Gao, M.; Li, L.; Wang, Q.; Ma, Z.; Li, X.; Liu, Z.","Gao, Mengdi (57190032714); Li, Lei (57190944953); Wang, Qingyang (57201188271); Ma, Zhilin (57215434119); Li, Xinyu (55718293000); Liu, Zhifeng (59812529900)","57190032714; 57190944953; 57201188271; 57215434119; 55718293000; 59812529900","Integration of Additive Manufacturing in Casting: Advances, Challenges, and Prospects","2022","10.1007/s40684-021-00323-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102838779&doi=10.1007%2Fs40684-021-00323-w&partnerID=40&md5=5192a84cd28ae44f881639719af5aef8","Review","Scopus","2-s2.0-85102838779"
"Salierno, G.; Leonardi, L.; Cabri, G.","Salierno, Giulio (57209212326); Leonardi, Letizia (7101636550); Cabri, Giacomo (35511410700)","57209212326; 7101636550; 35511410700","The future of factories: Different trends","2021","10.3390/app11219980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118257879&doi=10.3390%2Fapp11219980&partnerID=40&md5=828e607db01c419bf7faa6ee2f0491b6","Review","Scopus","2-s2.0-85118257879"
"Yamada, S.; Bartúnek, J.; Behfar, A.; Terzić, A.","Yamada, Satsuki (7404922587); Bartúnek, Jozef J. (7006397762); Behfar, Atta (6602328079); Terzić, André M. (7004939597)","7404922587; 7006397762; 6602328079; 7004939597","Mass customized outlook for regenerative heart failure care","2021","10.3390/ijms222111394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117512569&doi=10.3390%2Fijms222111394&partnerID=40&md5=b1c0ce73d8627eee3d3ebc2e5712cb76","Review","Scopus","2-s2.0-85117512569"
"Tan, C.; Weng, F.; Sui, S.; Chew, Y.; Bi, G.","Tan, Chaolin (56978521300); Weng, Fei (55618682700); Sui, Shang (57189867923); Chew, Youxiang (56063492300); Bi, Guijun (57218448820)","56978521300; 55618682700; 57189867923; 56063492300; 57218448820","Progress and perspectives in laser additive manufacturing of key aeroengine materials","2021","10.1016/j.ijmachtools.2021.103804","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117174301&doi=10.1016%2Fj.ijmachtools.2021.103804&partnerID=40&md5=733b59523a05405881b9586926abaf1d","Review","Scopus","2-s2.0-85117174301"
